Sample_number,ID,Sample_ID,Class,SRA_accession
Sample_0101,18NS153,Garfield Lake,Natural stand,SAMN22588814
Sample_0102,18NS161,Garfield Lake,Natural stand,SAMN22588815
Sample_0103,18NS169,Garfield Lake,Natural stand,SAMN22588816
Sample_0104,18NS177,Garfield Lake,Natural stand,SAMN22588817
Sample_0113,18NS154,Garfield Lake,Natural stand,SAMN22588818
Sample_0114,18NS162,Garfield Lake,Natural stand,SAMN22588819
Sample_0115,18NS170,Garfield Lake,Natural stand,SAMN22588820
Sample_0116,18NS178,Garfield Lake,Natural stand,SAMN22588821
Sample_0125,18NS155,Garfield Lake,Natural stand,SAMN22588822
Sample_0126,18NS163,Garfield Lake,Natural stand,SAMN22588823
Sample_0127,18NS171,Garfield Lake,Natural stand,SAMN22588824
Sample_0128,18NS179,Garfield Lake,Natural stand,SAMN22588825
Sample_0137,18NS156,Garfield Lake,Natural stand,SAMN22588826
Sample_0138,18NS164,Garfield Lake,Natural stand,SAMN22588827
Sample_0139,18NS172,Garfield Lake,Natural stand,SAMN22588828
Sample_0140,18NS180,Garfield Lake,Natural stand,SAMN22588829
Sample_0148,18NS157,Garfield Lake,Natural stand,SAMN22588830
Sample_0149,18NS165,Garfield Lake,Natural stand,SAMN22588831
Sample_0150,18NS173,Garfield Lake,Natural stand,SAMN22588832
Sample_0151,18NS181,Garfield Lake,Natural stand,SAMN22588833
Sample_0159,18NS158,Garfield Lake,Natural stand,SAMN22588834
Sample_0160,18NS166,Garfield Lake,Natural stand,SAMN22588835
Sample_0161,18NS174,Garfield Lake,Natural stand,SAMN22588836
Sample_0162,18NS182,Garfield Lake,Natural stand,SAMN22588837
Sample_0169,18NS151,Garfield Lake,Natural stand,SAMN22588838
Sample_0170,18NS159,Garfield Lake,Natural stand,SAMN22588839
Sample_0171,18NS167,Garfield Lake,Natural stand,SAMN22588840
Sample_0172,18NS175,Garfield Lake,Natural stand,SAMN22588841
Sample_0173,18NS183,Garfield Lake,Natural stand,SAMN22588842
Sample_0180,18NS152,Garfield Lake,Natural stand,SAMN22588843
Sample_0181,18NS160,Garfield Lake,Natural stand,SAMN22588844
Sample_0182,18NS168,Garfield Lake,Natural stand,SAMN22588845
Sample_0183,18NS176,Garfield Lake,Natural stand,SAMN22588846
Sample_0184,18NS184,Garfield Lake,Natural stand,SAMN22588847
Sample_0185,18NS185,Garfield Lake,Natural stand,SAMN22588848
Sample_0186,18NS197,Garfield Lake,Natural stand,SAMN22588849
Sample_0196,18NS186,Garfield Lake,Natural stand,SAMN22588850
Sample_0197,18NS198,Garfield Lake,Natural stand,SAMN22588851
Sample_0207,18NS187,Garfield Lake,Natural stand,SAMN22588852
Sample_0208,18NS199,Garfield Lake,Natural stand,SAMN22588853
Sample_0218,18NS188,Garfield Lake,Natural stand,SAMN22588854
Sample_0219,18NS200,Garfield Lake,Natural stand,SAMN22588855
Sample_0229,18NS189,Garfield Lake,Natural stand,SAMN22588856
Sample_0230,18NS193,Garfield Lake,Natural stand,SAMN22588857
Sample_0241,18NS190,Garfield Lake,Natural stand,SAMN22588858
Sample_0242,18NS194,Garfield Lake,Natural stand,SAMN22588859
Sample_0253,18NS191,Garfield Lake,Natural stand,SAMN22588860
Sample_0254,18NS195,Garfield Lake,Natural stand,SAMN22588861
Sample_0265,18NS192,Garfield Lake,Natural stand,SAMN22588862
Sample_0266,18NS196,Garfield Lake,Natural stand,SAMN22588863
Sample_0379,18NS603,Garfield Lake Old,Natural stand,SAMN22588864
Sample_0390,18NS604,Garfield Lake Old,Natural stand,SAMN22588865
Sample_0401,18NS605,Garfield Lake Old,Natural stand,SAMN22588866
Sample_0412,18NS606,Garfield Lake Old,Natural stand,SAMN22588867
Sample_0424,18NS607,Garfield Lake Old,Natural stand,SAMN22588868
Sample_0436,18NS608,Garfield Lake Old,Natural stand,SAMN22588869
Sample_0447,18NS601,Garfield Lake Old,Natural stand,SAMN22588870
Sample_0448,18NS609,Garfield Lake Old,Natural stand,SAMN22588871
Sample_0459,18NS602,Garfield Lake Old,Natural stand,SAMN22588872
Sample_0460,18NS610,Garfield Lake Old,Natural stand,SAMN22588873
Sample_0461,18NS611,Garfield Lake Old,Natural stand,SAMN22588874
Sample_0462,18NS619,Garfield Lake Old,Natural stand,SAMN22588875
Sample_0463,18NS627,Garfield Lake Old,Natural stand,SAMN22588876
Sample_0464,18NS631,Garfield Lake Old,Natural stand,SAMN22588877
Sample_0465,18NS639,Garfield Lake Old,Natural stand,SAMN22588878
Sample_0466,18NS647,Garfield Lake Old,Natural stand,SAMN22588879
Sample_0473,18NS612,Garfield Lake Old,Natural stand,SAMN22588880
Sample_0474,18NS620,Garfield Lake Old,Natural stand,SAMN22588881
